Zip,Total_Number_of_Sales,Median_Sales,Mean_Sales
20707,1,$999 ,$999 
20812,3,$999 ,$999 
20814,281,"$694,500 ","$747,598 "
20815,336,"$843,700 ","$1,039,016 "
20816,219,"$875,000 ","$959,840 "
20817,505,"$787,500 ","$896,147 "
20818,30,"$929,500 ","$891,825 "
20832,416,"$421,252 ","$446,703 "
20833,74,"$548,450 ","$575,606 "
20837,97,"$525,000 ","$505,184 "
20838,3,$999 ,$999 
20841,114,"$517,800 ","$487,814 "
20842,8,"$262,500 ","$448,688 "
20850,460,"$536,000 ","$549,697 "
20851,131,"$331,500 ","$342,447 "
20852,518,"$445,000 ","$528,415 "
20853,297,"$405,500 ","$437,171 "
20854,557,"$860,000 ","$1,006,613 "
20855,224,"$489,900 ","$518,719 "
20860,28,"$784,848 ","$680,967 "
20861,19,"$510,000 ","$479,289 "
20862,2,$999 ,$999 
20866,124,"$264,000 ","$317,228 "
20868,4,$999 ,$999 
20871,532,"$410,000 ","$424,171 "
20872,167,"$332,790 ","$353,886 "
20874,778,"$277,700 ","$314,195 "
20876,254,"$335,000 ","$375,058 "
20877,245,"$331,000 ","$315,354 "
20878,861,"$554,255 ","$533,609 "
20879,243,"$275,000 ","$294,529 "
20882,139,"$530,950 ","$527,896 "
20886,447,"$239,450 ","$257,963 "
20895,265,"$503,750 ","$556,773 "
20901,355,"$398,000 ","$398,540 "
20902,432,"$355,000 ","$340,431 "
20903,85,"$340,000 ","$331,025 "
20904,341,"$360,000 ","$352,034 "
20905,135,"$470,000 ","$484,246 "
20906,987,"$295,000 ","$317,238 "
20910,312,"$473,500 ","$458,796 "
20912,174,"$372,450 ","$369,963 "
