Zip,Type,IRS_Estimated_Population_2014
20810,UNIQUE,0
20811,UNIQUE,0
20812,STANDARD,310
20813,PO BOX,52
20814,STANDARD,25370
20815,STANDARD,26620
20816,STANDARD,15300
20817,STANDARD,33910
20818,STANDARD,1690
20824,PO BOX,315
20825,PO BOX,50
20827,PO BOX,229
20830,PO BOX,360
20832,STANDARD,24980
20833,STANDARD,7800
20837,STANDARD,6300
20838,STANDARD,290
20839,STANDARD,250
20841,STANDARD,9520
20842,STANDARD,1630
20847,PO BOX,92
20848,PO BOX,308
20849,PO BOX,476
20850,STANDARD,43070
20851,STANDARD,14570
20852,STANDARD,38070
20853,STANDARD,30810
20854,STANDARD,47600
20855,STANDARD,14430
20857,UNIQUE,0
20859,PO BOX,255
20860,STANDARD,1810
20861,STANDARD,2070
20862,STANDARD,380
20866,STANDARD,14210
20868,STANDARD,720
20871,STANDARD,20940
20872,STANDARD,12940
20874,STANDARD,58740
20875,PO BOX,628
20876,STANDARD,25200
20877,STANDARD,37850
20878,STANDARD,62410
20879,STANDARD,25650
20880,PO BOX,740
20882,STANDARD,13820
20883,PO BOX,161
20884,PO BOX,366
20885,PO BOX,344
20886,STANDARD,34130
20889,UNIQUE,273
20891,PO BOX,119
20892,UNIQUE,0
20894,UNIQUE,0
20895,STANDARD,18700
20896,PO BOX,1020
20897,UNIQUE,0
20898,PO BOX,347
20899,UNIQUE,0
20901,STANDARD,36900
20902,STANDARD,51990
20903,STANDARD,27270
20904,STANDARD,55710
20905,STANDARD,18260
20906,STANDARD,67360
20907,PO BOX,323
20908,PO BOX,38
20910,STANDARD,37650
20911,PO BOX,115
20912,STANDARD,24770
20913,PO BOX,225
20914,PO BOX,526
20915,PO BOX,270
20916,PO BOX,425
20918,PO BOX,236
20993,UNIQUE,0
20997,UNIQUE,0
