Zip.Code,Number_of_Sales_2014,Number_of_Crimes_2014,Type,IRS_Estimated_Population_2014,Total_Number_of_Sales_State_Planning,Median_Sales,Mean_Sales
20812,8,13,STANDARD,310,3,$999 ,$999 
20814,357,1797,STANDARD,25370,281,"$694,500 ","$747,598 "
20815,421,1009,STANDARD,26620,336,"$843,700 ","$1,039,016 "
20816,243,395,STANDARD,15300,219,"$875,000 ","$959,840 "
20817,518,1348,STANDARD,33910,505,"$787,500 ","$896,147 "
20818,45,29,STANDARD,1690,30,"$929,500 ","$891,825 "
20832,342,764,STANDARD,24980,416,"$421,252 ","$446,703 "
20833,79,190,STANDARD,7800,74,"$548,450 ","$575,606 "
20837,82,183,STANDARD,6300,97,"$525,000 ","$505,184 "
20838,3,3,STANDARD,290,3,$999 ,$999 
20841,77,168,STANDARD,9520,114,"$517,800 ","$487,814 "
20842,11,53,STANDARD,1630,8,"$262,500 ","$448,688 "
20850,520,2739,STANDARD,43070,460,"$536,000 ","$549,697 "
20851,123,721,STANDARD,14570,131,"$331,500 ","$342,447 "
20852,570,2225,STANDARD,38070,518,"$445,000 ","$528,415 "
20853,277,841,STANDARD,30810,297,"$405,500 ","$437,171 "
20854,603,1055,STANDARD,47600,557,"$860,000 ","$1,006,613 "
20855,170,660,STANDARD,14430,224,"$489,900 ","$518,719 "
20860,30,81,STANDARD,1810,28,"$784,848 ","$680,967 "
20861,17,53,STANDARD,2070,19,"$510,000 ","$479,289 "
20862,1,7,STANDARD,380,2,$999 ,$999 
20866,109,645,STANDARD,14210,124,"$264,000 ","$317,228 "
20868,4,23,STANDARD,720,4,$999 ,$999 
20871,304,469,STANDARD,20940,532,"$410,000 ","$424,171 "
20872,168,401,STANDARD,12940,167,"$332,790 ","$353,886 "
20874,665,3073,STANDARD,58740,778,"$277,700 ","$314,195 "
20876,200,1565,STANDARD,25200,254,"$335,000 ","$375,058 "
20877,191,2676,STANDARD,37850,245,"$331,000 ","$315,354 "
20878,862,2513,STANDARD,62410,861,"$554,255 ","$533,609 "
20879,240,1205,STANDARD,25650,243,"$275,000 ","$294,529 "
20882,132,266,STANDARD,13820,139,"$530,950 ","$527,896 "
20886,414,1551,STANDARD,34130,447,"$239,450 ","$257,963 "
20895,280,863,STANDARD,18700,265,"$503,750 ","$556,773 "
20896,15,26,POBox,1020,1,$999 ,$999 
20896,15,26,POBox,1020,1,$999 ,$999 
20901,380,2065,STANDARD,36900,355,"$398,000 ","$398,540 "
20902,414,3786,STANDARD,51990,432,"$355,000 ","$340,431 "
20903,72,1145,STANDARD,27270,85,"$340,000 ","$331,025 "
20904,322,3336,STANDARD,55710,341,"$360,000 ","$352,034 "
20905,177,483,STANDARD,18260,135,"$470,000 ","$484,246 "
20906,877,2737,STANDARD,67360,987,"$295,000 ","$317,238 "
20910,365,3929,STANDARD,37650,312,"$473,500 ","$458,796 "
20912,203,1798,STANDARD,24770,174,"$372,450 ","$369,963 "
