"","Zip","Number_of_Crimes_2014","X","Number_of_Crime_Incidents","community_facilities_count","School_Number","School_Name","Attendance_Rate","Drop_Out_Rate","Graduation_Rate","Students_Meeting_University_System_of_Maryland_Requirements","Type","IRS_Estimated_Population_2014","Total_Number_of_Sales","Median_Sales","Mean_Sales","sales_pulled"
"1",2079,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2814,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",20012,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",20705,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",20707,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",20724,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",20777,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",20782,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",20783,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",20812,13,4,37,NA,NA,NA,NA,NA,NA,NA,"STANDARD",310,3,"$999 ","$999 ",0
"11",20814,1797,6,5914,10,424,"Walter Johnson HS + Bethesda-Chevy Chase","95%","5%","95%","82.60%","STANDARD",25370,281,"$694,500 ","$747,598 ",249
"12",20815,1009,7,3581,11,NA,NA,NA,NA,NA,NA,"STANDARD",26620,336,"$843,700 ","$1,039,016 ",258
"13",20816,395,8,1370,7,NA,NA,NA,NA,NA,NA,"STANDARD",15300,219,"$875,000 ","$959,840 ",152
"14",20817,1348,9,4625,21,427,"Walt Whitman HS","95%","5%","95%","86.10%","STANDARD",33910,505,"$787,500 ","$896,147 ",355
"15",20818,29,10,104,2,NA,NA,NA,NA,NA,NA,"STANDARD",1690,30,"$929,500 ","$891,825 ",15
"16",20832,764,15,2534,10,NA,NA,NA,NA,NA,NA,"STANDARD",24980,416,"$421,252 ","$446,703 ",245
"17",20833,190,16,591,3,NA,NA,NA,NA,NA,NA,"STANDARD",7800,74,"$548,450 ","$575,606 ",51
"18",20837,183,17,583,4,152,"Poolesville HS","95%","5%","95%","90.40%","STANDARD",6300,97,"$525,000 ","$505,184 ",55
"19",20838,3,18,16,NA,NA,NA,NA,NA,NA,NA,"STANDARD",290,3,"$999 ","$999 ",3
"20",20839,9,19,27,1,NA,NA,NA,NA,NA,NA,"STANDARD",250,NA,NA,NA,0
"21",20841,168,20,639,3,NA,NA,NA,NA,NA,NA,"STANDARD",9520,114,"$517,800 ","$487,814 ",89
"22",20842,53,21,157,2,NA,NA,NA,NA,NA,NA,"STANDARD",1630,8,"$262,500 ","$448,688 ",7
"23",20850,2739,25,8983,13,234,"Thomas S. Wootton HS","95%","5%","95%","90.20%","STANDARD",43070,460,"$536,000 ","$549,697 ",365
"24",20851,721,26,2467,6,230,"Rockville HS","95%","6.50%","85.70%","79.40%","STANDARD",14570,131,"$331,500 ","$342,447 ",92
"25",20852,2225,27,7227,13,201,"Richard Montgomery HS","95%","5.90%","89.30%","76.30%","STANDARD",38070,518,"$445,000 ","$528,415 ",385
"26",20853,841,28,2741,22,NA,NA,NA,NA,NA,NA,"STANDARD",30810,297,"$405,500 ","$437,171 ",228
"27",20854,1055,29,3593,17,602,"Winston Churchill HS","95%","5%","95%","94.50%","STANDARD",47600,557,"$860,000 ","$1,006,613 ",416
"28",20855,660,30,2441,8,510,"Col. Zadok Magruder HS","94%","6.20%","88.60%","73.10%","STANDARD",14430,224,"$489,900 ","$518,719 ",117
"29",20860,81,33,293,3,503,"Sherwood HS","95%","5%","92.90%","85.20%","STANDARD",1810,28,"$784,848 ","$680,967 ",8
"30",20861,53,34,160,NA,NA,NA,NA,NA,NA,NA,"STANDARD",2070,19,"$510,000 ","$479,289 ",23
"31",20862,7,35,28,NA,NA,NA,NA,NA,NA,NA,"STANDARD",380,2,"$999 ","$999 ",4
"32",20866,645,36,2102,8,315,"Paint Branch HS","95%","8.10%","87.50%","71.70%","STANDARD",14210,124,"$264,000 ","$317,228 ",124
"33",20868,23,37,91,NA,NA,NA,NA,NA,NA,NA,"STANDARD",720,4,"$999 ","$999 ",4
"34",20871,469,38,1455,8,249,"Clarksburg HS","95%","6.50%","88.60%","71.80%","STANDARD",20940,532,"$410,000 ","$424,171 ",258
"35",20872,401,39,1340,8,701,"Damascus HS","95%","5%","92.30%","82.70%","STANDARD",12940,167,"$332,790 ","$353,886 ",138
"36",20874,3073,40,10176,26,246,"Northwest HS + Seneca Valley","94.00%","6.70%","86.30%","76.70%","STANDARD",58740,778,"$277,700 ","$314,195 ",501
"37",20876,1565,42,5253,11,NA,NA,NA,NA,NA,NA,"STANDARD",25200,254,"$335,000 ","$375,058 ",208
"38",20877,2676,43,9422,11,551,"Gaithersburg HS","92.40%","10.10%","76.90%","64.90%","STANDARD",37850,245,"$331,000 ","$315,354 ",208
"39",20878,2513,44,8664,16,125,"Quince Orchard HS","94.70%","5%","88.30%","82.70%","STANDARD",62410,861,"$554,255 ","$533,609 ",501
"40",20879,1205,45,4208,18,545,"Watkins Mill HS","92.80%","5.10%","85.30%","62.80%","STANDARD",25650,243,"$275,000 ","$294,529 ",231
"41",20880,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",20882,266,47,871,4,NA,NA,NA,NA,NA,NA,"STANDARD",13820,139,"$530,950 ","$527,896 ",127
"43",20886,1551,51,5548,1,NA,NA,NA,NA,NA,NA,"STANDARD",34130,447,"$239,450 ","$257,963 ",375
"44",20889,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",20892,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",20895,863,56,2560,14,789,"Albert Einstein HS","93.70%","12.10%","79.50%","61.80%","STANDARD",18700,265,"$503,750 ","$556,773 ",177
"47",20896,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",20899,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",20901,2065,61,6766,18,796,"Northwood HS + Blair","93.80%","11.25%","83.50%","76.60%","STANDARD",36900,355,"$398,000 ","$398,540 ",285
"50",20902,3786,62,12855,22,815,"John F. Kennedy HS","93.40%","8.80%","81.50%","66.80%","STANDARD",51990,432,"$355,000 ","$340,431 ",318
"51",20903,1145,63,3844,7,NA,NA,NA,NA,NA,NA,"STANDARD",27270,85,"$340,000 ","$331,025 ",69
"52",20904,3336,64,11005,24,798,"Springbrook HS","94.20%","11.10%","81.50%","71.90%","STANDARD",55710,341,"$360,000 ","$352,034 ",310
"53",20905,483,65,1664,7,321,"James Hubert Blake HS","95%","6.60%","88.60%","80.30%","STANDARD",18260,135,"$470,000 ","$484,246 ",140
"54",20906,2737,66,9763,23,782,"Wheaton HS","94%","12.60%","76.10%","65.40%","STANDARD",67360,987,"$295,000 ","$317,238 ",501
"55",20910,3929,69,13257,13,NA,NA,NA,NA,NA,NA,"STANDARD",37650,312,"$473,500 ","$458,796 ",267
"56",20912,1798,71,5717,4,NA,NA,NA,NA,NA,NA,"STANDARD",24770,174,"$372,450 ","$369,963 ",131
"57",20993,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",21771,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
